activity_id,assay_chembl_id,document_chembl_id,molecule_chembl_id,canonical_smiles,target_chembl_id,target_organism,standard_type,type,effective_type,standard_relation,relation,effective_relation,standard_value,standard_upper_value,standard_units,pchembl_value,value,upper_value,units,activity_comment,standard_text_value,text_value,data_validity_comment,potential_duplicate,activity_properties_json,exact_ic50,non_exact_ic50,interval_ic50,right_censored_ic50,left_censored_ic50,text_contains_inactive,single_point_inhibition,missing_structure,potential_duplicate_true,has_validity_comment,missing_target_organism,has_standard_text_value,descriptive_flags
3301185,CHEMBL1118499,CHEMBL1155439,CHEMBL1082280,Cn1c(=O)c2c(ncn2CC(=O)Nc2nc(-c3cccc(F)c3)cs2)n(C)c1=O,CHEMBL6007,Homo sapiens,IC50,IC50,IC50,<,<,<,1000.0,,nM,,1.0,,uM,,,,,0,,False,True,False,False,True,False,False,False,False,False,False,False,non_exact_ic50;left_censored_ic50
3301186,CHEMBL1118499,CHEMBL1155439,CHEMBL1086082,COc1cccc(-c2csc(NC(=O)Cn3cnc4c3c(=O)n(C)c(=O)n4C)n2)c1,CHEMBL6007,Homo sapiens,IC50,IC50,IC50,<,<,<,1000.0,,nM,,1.0,,uM,,,,,0,,False,True,False,False,True,False,False,False,False,False,False,False,non_exact_ic50;left_censored_ic50
3301187,CHEMBL1118499,CHEMBL1155439,CHEMBL1086097,CCOc1ccccc1-c1csc(NC(=O)Cn2cnc3c2c(=O)n(C)c(=O)n3C)n1,CHEMBL6007,Homo sapiens,IC50,IC50,IC50,<,<,<,1000.0,,nM,,1.0,,uM,,,,,0,,False,True,False,False,True,False,False,False,False,False,False,False,non_exact_ic50;left_censored_ic50
3301188,CHEMBL1118499,CHEMBL1155439,CHEMBL1086338,Cn1c(=O)c2c(ncn2CC(=O)Nc2nc(-c3cccc(Cl)c3)cs2)n(C)c1=O,CHEMBL6007,Homo sapiens,IC50,IC50,IC50,<,<,<,1000.0,,nM,,1.0,,uM,,,,,0,,False,True,False,False,True,False,False,False,False,False,False,False,non_exact_ic50;left_censored_ic50
3301189,CHEMBL1118499,CHEMBL1155439,CHEMBL1086310,CC(C)c1ccc(NC(=O)Cn2cnc3c2c(=O)n(C)c(=O)n3C)cc1,CHEMBL6007,Homo sapiens,IC50,IC50,IC50,=,=,=,6200.0,,nM,5.21,6.2,,uM,,,,,0,,True,False,False,False,False,False,False,False,False,False,False,False,exact_ic50
3301201,CHEMBL1118499,CHEMBL1155439,CHEMBL1086339,CCC(C)c1ccc(NC(=O)Cn2cnc3c2c(=O)n(C)c(=O)n3C)cc1,CHEMBL6007,Homo sapiens,IC50,IC50,IC50,=,=,=,14300.0,,nM,4.84,14.3,,uM,,,,,0,,True,False,False,False,False,False,False,False,False,False,False,False,exact_ic50
3301154,CHEMBL1118500,CHEMBL1155439,CHEMBL1086371,O=C(NC(Sc1ccc(Cl)cc1)C(Cl)(Cl)Cl)c1ccccc1,CHEMBL6007,Homo sapiens,IC50,IC50,IC50,=,=,=,120.0,,nM,6.92,120.0,,nM,,,,,0,,True,False,False,False,False,False,False,False,False,False,False,False,exact_ic50
3301155,CHEMBL1118500,CHEMBL1155439,CHEMBL1086586,COc1ccc(C(=O)NC(Sc2ccc(Cl)cc2)C(Cl)(Cl)Cl)cc1,CHEMBL6007,Homo sapiens,IC50,IC50,IC50,=,=,=,260.0,,nM,6.58,260.0,,nM,,,,,0,,True,False,False,False,False,False,False,False,False,False,False,False,exact_ic50
3301156,CHEMBL1118500,CHEMBL1155439,CHEMBL1086587,O=C(NC(Sc1ccc(Cl)cc1)C(Cl)(Cl)Cl)c1ccc([N+](=O)[O-])cc1,CHEMBL6007,Homo sapiens,IC50,IC50,IC50,=,=,=,167.0,,nM,6.78,167.0,,nM,,,,,0,,True,False,False,False,False,False,False,False,False,False,False,False,exact_ic50
3301157,CHEMBL1118500,CHEMBL1155439,CHEMBL1086588,O=C(NC(Sc1ccc(Cl)cc1)C(Cl)(Cl)Cl)c1ccc(Br)cc1,CHEMBL6007,Homo sapiens,IC50,IC50,IC50,=,=,=,252.0,,nM,6.60,252.0,,nM,,,,,0,,True,False,False,False,False,False,False,False,False,False,False,False,exact_ic50
3301158,CHEMBL1118501,CHEMBL1155439,CHEMBL1086371,O=C(NC(Sc1ccc(Cl)cc1)C(Cl)(Cl)Cl)c1ccccc1,CHEMBL6007,Homo sapiens,IC50,IC50,IC50,=,=,=,7.0,,nM,8.15,7.0,,nM,,,,,0,,True,False,False,False,False,False,False,False,False,False,False,False,exact_ic50
3301159,CHEMBL1118501,CHEMBL1155439,CHEMBL1086586,COc1ccc(C(=O)NC(Sc2ccc(Cl)cc2)C(Cl)(Cl)Cl)cc1,CHEMBL6007,Homo sapiens,IC50,IC50,IC50,=,=,=,29.0,,nM,7.54,29.0,,nM,,,,,0,,True,False,False,False,False,False,False,False,False,False,False,False,exact_ic50
3301160,CHEMBL1118501,CHEMBL1155439,CHEMBL1086587,O=C(NC(Sc1ccc(Cl)cc1)C(Cl)(Cl)Cl)c1ccc([N+](=O)[O-])cc1,CHEMBL6007,Homo sapiens,IC50,IC50,IC50,=,=,=,105.0,,nM,6.98,105.0,,nM,,,,,0,,True,False,False,False,False,False,False,False,False,False,False,False,exact_ic50
3301161,CHEMBL1118501,CHEMBL1155439,CHEMBL1086588,O=C(NC(Sc1ccc(Cl)cc1)C(Cl)(Cl)Cl)c1ccc(Br)cc1,CHEMBL6007,Homo sapiens,IC50,IC50,IC50,=,=,=,28.0,,nM,7.55,28.0,,nM,,,,,0,,True,False,False,False,False,False,False,False,False,False,False,False,exact_ic50
3301177,CHEMBL1118734,CHEMBL1155439,CHEMBL1086589,Cc1ccc(C(=O)NC(Sc2ccc([N+](=O)[O-])cc2)C(Cl)(Cl)Cl)cc1,CHEMBL6007,Homo sapiens,IC50,IC50,IC50,=,=,=,1700.0,,nM,5.77,1.7,,uM,,,,,0,,True,False,False,False,False,False,False,False,False,False,False,False,exact_ic50
3301200,CHEMBL1118734,CHEMBL1155439,CHEMBL1086339,CCC(C)c1ccc(NC(=O)Cn2cnc3c2c(=O)n(C)c(=O)n3C)cc1,CHEMBL6007,Homo sapiens,IC50,IC50,IC50,=,=,=,18700.0,,nM,4.73,18.7,,uM,,,,,0,,True,False,False,False,False,False,False,False,False,False,False,False,exact_ic50
3301178,CHEMBL1118735,CHEMBL1155439,CHEMBL1086589,Cc1ccc(C(=O)NC(Sc2ccc([N+](=O)[O-])cc2)C(Cl)(Cl)Cl)cc1,CHEMBL6007,Homo sapiens,IC50,IC50,IC50,=,=,=,2500.0,,nM,5.60,2.5,,uM,,,,,0,,True,False,False,False,False,False,False,False,False,False,False,False,exact_ic50
3301179,CHEMBL1118736,CHEMBL1155439,CHEMBL1086589,Cc1ccc(C(=O)NC(Sc2ccc([N+](=O)[O-])cc2)C(Cl)(Cl)Cl)cc1,CHEMBL6007,Homo sapiens,IC50,IC50,IC50,=,=,=,360.0,,nM,6.44,0.36,,uM,,,,,0,,True,False,False,False,False,False,False,False,False,False,False,False,exact_ic50
