activity_id,assay_chembl_id,document_chembl_id,molecule_chembl_id,canonical_smiles,target_chembl_id,target_organism,standard_type,type,effective_type,standard_relation,relation,effective_relation,standard_value,standard_upper_value,standard_units,pchembl_value,value,upper_value,units,activity_comment,standard_text_value,text_value,data_validity_comment,potential_duplicate,activity_properties_json,exact_ic50,non_exact_ic50,interval_ic50,right_censored_ic50,left_censored_ic50,text_contains_inactive,single_point_inhibition,missing_structure,potential_duplicate_true,has_validity_comment,missing_target_organism,has_standard_text_value,descriptive_flags
10983844,CHEMBL2071975,CHEMBL2069204,CHEMBL2071595,CC(C)C(C)(NC(=O)c1ccccc1)C(=O)c1ccc(Cl)cc1,CHEMBL6007,Homo sapiens,pIC50,pIC50,PIC50,,,,,,,,,,,,Not active,Not Active,,0,,False,False,False,False,False,True,False,False,False,False,False,True,text_contains_inactive;has_standard_text_value
10983845,CHEMBL2071975,CHEMBL2069204,CHEMBL2071594,CCCC(NC(=O)c1ccccc1)C(=O)c1ccc(Cl)cc1,CHEMBL6007,Homo sapiens,pIC50,pIC50,PIC50,,,,,,,,,,,,Not active,Not Active,,0,,False,False,False,False,False,True,False,False,False,False,False,True,text_contains_inactive;has_standard_text_value
10983856,CHEMBL2071975,CHEMBL2069204,CHEMBL2071515,CC(C)C(NC(=O)NCc1ccccc1)C(=O)c1ccc(C#N)cc1,CHEMBL6007,Homo sapiens,pIC50,pIC50,PIC50,,,,,,,,,,,,Not active,Not Active,,0,,False,False,False,False,False,True,False,False,False,False,False,True,text_contains_inactive;has_standard_text_value
10983857,CHEMBL2071975,CHEMBL2069204,CHEMBL2071514,CC(C)C(NC(=O)Nc1ccc(F)cc1)C(=O)c1ccc(C#N)cc1,CHEMBL6007,Homo sapiens,pIC50,pIC50,PIC50,,,,,,,,,,,,Not active,Not Active,,0,,False,False,False,False,False,True,False,False,False,False,False,True,text_contains_inactive;has_standard_text_value
10983870,CHEMBL2071975,CHEMBL2069204,CHEMBL2071501,C=CCN(CC=C)c1ccc(C(=O)C(NC(=O)c2ccccc2)C(C)C)cc1,CHEMBL6007,Homo sapiens,Inhibition,INH,INHIBITION,<,<,<,4.5,,%,,4.5,,%,,,,,0,,False,False,False,False,False,False,True,False,False,False,False,False,single_point_inhibition
10983871,CHEMBL2071975,CHEMBL2069204,CHEMBL2071500,CC(C)C(NC(=O)c1ccccc1)C(=O)c1ccc(N)cc1,CHEMBL6007,Homo sapiens,pIC50,pIC50,PIC50,,,,,,,,,,,,Not active,Not Active,,0,,False,False,False,False,False,True,False,False,False,False,False,True,text_contains_inactive;has_standard_text_value
10983872,CHEMBL2071975,CHEMBL2069204,CHEMBL2071499,CC(C)C(NC(=O)c1ccccc1)C(=O)c1ccc(S(C)(=O)=O)cc1,CHEMBL6007,Homo sapiens,pIC50,pIC50,PIC50,,,,,,,,,,,,Not active,Not Active,,0,,False,False,False,False,False,True,False,False,False,False,False,True,text_contains_inactive;has_standard_text_value
10983875,CHEMBL2071975,CHEMBL2069204,CHEMBL2071496,CC(C)C(NC(=O)c1ccccc1)C(=O)c1cccc(Cl)c1,CHEMBL6007,Homo sapiens,Inhibition,INH,INHIBITION,<,<,<,4.5,,%,,4.5,,%,,,,,0,,False,False,False,False,False,False,True,False,False,False,False,False,single_point_inhibition
10983877,CHEMBL2071975,CHEMBL2069204,CHEMBL2071494,CC(C)C(NC(=O)c1ccccc1)C(=O)c1ccc(Cl)cc1,CHEMBL6007,Homo sapiens,pIC50,pIC50,PIC50,,,,,,,,,,,,Not active,Not Active,,0,,False,False,False,False,False,True,False,False,False,False,False,True,text_contains_inactive;has_standard_text_value
10983881,CHEMBL2071975,CHEMBL2069204,CHEMBL2071492,CC(C)C(NC(=O)c1ccccc1)C(=O)c1ccccc1,CHEMBL6007,Homo sapiens,Inhibition,INH,INHIBITION,<,<,<,4.5,,%,,4.5,,%,,,,,0,,False,False,False,False,False,False,True,False,False,False,False,False,single_point_inhibition
