activity_id,record_id,molecule_chembl_id,parent_molecule_chembl_id,canonical_smiles,assay_chembl_id,document_chembl_id,document_year,standard_value_num,standard_units,pic50,reported_pchembl,pchembl_delta,method,agonist,agonist_model_category,agonist_level,agonist_concentration_uM,cell_line,compound_preincubation_min,activity_time_min,application_order,protocol_fingerprint,confidence_score,data_validity_comment,potential_duplicate,construct,source_review_status,source_note,compound_assay_measurement_count,is_compound_assay_replicate,include_primary_conservative,include_broad_sensitivity,primary_exclusion_reasons,broad_exclusion_reasons
3301190,914890,CHEMBL1086310,CHEMBL1086310,CC(C)c1ccc(NC(=O)Cn2cnc3c2c(=O)n(C)c(=O)n3C)cc1,CHEMBL1118738,CHEMBL1155439,2010,5300.0,nM,5.275724130399211,5.28,0.004275869600789406,calcium_fluorescence,formalin,other,,,,,,,human | not_reported | calcium_fluorescence | NA | NA | NA | NA | NA | NA,9,,0,not_reported,not_required,,1,False,True,True,,
3301191,914890,CHEMBL1086310,CHEMBL1086310,CC(C)c1ccc(NC(=O)Cn2cnc3c2c(=O)n(C)c(=O)n3C)cc1,CHEMBL1118739,CHEMBL1155439,2010,4900.0,nM,5.309803919971486,5.31,0.00019608002851345674,calcium_fluorescence,cinnamaldehyde,cinnamaldehyde,,,HEK293,,,,human | not_reported | calcium_fluorescence | cinnamaldehyde | NA | NA | HEK293 | NA | NA,9,,0,not_reported,not_required,,1,False,True,True,,
3301192,914890,CHEMBL1086310,CHEMBL1086310,CC(C)c1ccc(NC(=O)Cn2cnc3c2c(=O)n(C)c(=O)n3C)cc1,CHEMBL1118740,CHEMBL1155439,2010,7500.0,nM,5.1249387366083,5.12,-0.0049387366082997985,calcium_fluorescence,AITC,AITC,,,HEK293,,,,human | not_reported | calcium_fluorescence | AITC | NA | NA | HEK293 | NA | NA,9,,0,not_reported,not_required,,1,False,True,True,,
8011667,1572023,CHEMBL1939990,CHEMBL1939990,O=C1C2=C(NC(=S)NC2c2ccccc2)c2ccccc21,CHEMBL1944172,CHEMBL1938315,2012,1800.0,nM,5.7447274948966935,5.75,0.005272505103306457,calcium_fluorescence,5H-dibenzazepine ester,other,,,HEK293,,,,human | not_reported | calcium_fluorescence | NA | NA | NA | HEK293 | NA | NA,9,,0,not_reported,not_required,,1,False,True,True,,
8011679,1572012,CHEMBL1939984,CHEMBL1939984,O=C1C2=C(NC(=S)N[C@@H]2c2ccccc2)c2ccccc21,CHEMBL1944172,CHEMBL1938315,2012,770.0,nM,6.113509274827518,6.11,-0.0035092748275173946,calcium_fluorescence,5H-dibenzazepine ester,other,,,HEK293,,,,human | not_reported | calcium_fluorescence | NA | NA | NA | HEK293 | NA | NA,9,,0,not_reported,not_required,,1,False,True,True,,
8011680,1572013,CHEMBL1939985,CHEMBL1939985,O=C1C2=C(NC(=S)N[C@H]2c2ccccc2)c2ccccc21,CHEMBL1944172,CHEMBL1938315,2012,8100.0,nM,5.09151498112135,5.09,-0.0015149811213497344,calcium_fluorescence,5H-dibenzazepine ester,other,,,HEK293,,,,human | not_reported | calcium_fluorescence | NA | NA | NA | HEK293 | NA | NA,9,,0,not_reported,not_required,,1,False,True,True,,
8011681,1572008,CHEMBL1939981,CHEMBL1939981,O=C1C2=C(NC(=S)NC2c2ccccc2F)c2ccccc21,CHEMBL1944172,CHEMBL1938315,2012,2070.0,nM,5.684029654543082,5.68,-0.004029654543082017,calcium_fluorescence,5H-dibenzazepine ester,other,,,HEK293,,,,human | not_reported | calcium_fluorescence | NA | NA | NA | HEK293 | NA | NA,9,,0,not_reported,not_required,,1,False,True,True,,
8011682,1572009,CHEMBL1939982,CHEMBL1939982,O=C1C2=C(NC(=S)NC2c2cccc(F)c2)c2ccccc21,CHEMBL1944172,CHEMBL1938315,2012,1100.0,nM,5.958607314841775,5.96,0.0013926851582253263,calcium_fluorescence,5H-dibenzazepine ester,other,,,HEK293,,,,human | not_reported | calcium_fluorescence | NA | NA | NA | HEK293 | NA | NA,9,,0,not_reported,not_required,,1,False,True,True,,
8011684,1572005,CHEMBL1939978,CHEMBL1939978,COc1cccc(C2NC(=S)NC3=C2C(=O)c2ccccc23)c1,CHEMBL1944172,CHEMBL1938315,2012,130.0,nM,6.886056647693163,6.89,0.003943352306836623,calcium_fluorescence,5H-dibenzazepine ester,other,,,HEK293,,,,human | not_reported | calcium_fluorescence | NA | NA | NA | HEK293 | NA | NA,9,,0,not_reported,not_required,,1,False,True,True,,
8011685,1572006,CHEMBL1939979,CHEMBL1939979,COc1ccc(C2NC(=S)NC3=C2C(=O)c2ccccc23)cc1,CHEMBL1944172,CHEMBL1938315,2012,3100.0,nM,5.508638306165727,5.51,0.0013616938342728702,calcium_fluorescence,5H-dibenzazepine ester,other,,,HEK293,,,,human | not_reported | calcium_fluorescence | NA | NA | NA | HEK293 | NA | NA,9,,0,not_reported,not_required,,1,False,True,True,,
8011686,1572007,CHEMBL1939980,CHEMBL1939980,O=C1C2=C(NC(=S)NC2c2cccc(Br)c2)c2ccccc21,CHEMBL1944172,CHEMBL1938315,2012,500.0,nM,6.301029995663981,6.3,-0.0010299956639814312,calcium_fluorescence,5H-dibenzazepine ester,other,,,HEK293,,,,human | not_reported | calcium_fluorescence | NA | NA | NA | HEK293 | NA | NA,9,,0,not_reported,not_required,,1,False,True,True,,
8011687,1572003,CHEMBL1939976,CHEMBL1939976,O=C1C2=C(NC(=S)NC2c2cccc(O)c2)c2ccccc21,CHEMBL1944172,CHEMBL1938315,2012,640.0,nM,6.1938200260161125,6.19,-0.003820026016112088,calcium_fluorescence,5H-dibenzazepine ester,other,,,HEK293,,,,human | not_reported | calcium_fluorescence | NA | NA | NA | HEK293 | NA | NA,9,,0,not_reported,not_required,,1,False,True,True,,
8011688,1572004,CHEMBL1939977,CHEMBL1939977,O=C1C2=C(NC(=S)NC2c2cccc(CO)c2)c2ccccc21,CHEMBL1944172,CHEMBL1938315,2012,710.0,nM,6.1487416512809245,6.15,0.0012583487190758191,calcium_fluorescence,5H-dibenzazepine ester,other,,,HEK293,,,,human | not_reported | calcium_fluorescence | NA | NA | NA | HEK293 | NA | NA,9,,0,not_reported,not_required,,1,False,True,True,,
8011692,1571812,CHEMBL1939835,CHEMBL1939835,COc1cc(OC)cc(C2NC(=S)NC3=C2C(=O)c2ccccc23)c1,CHEMBL1944172,CHEMBL1938315,2012,2780.0,nM,5.555955204081924,5.56,0.0040447959180758275,calcium_fluorescence,5H-dibenzazepine ester,other,,,HEK293,,,,human | not_reported | calcium_fluorescence | NA | NA | NA | HEK293 | NA | NA,9,,0,not_reported,not_required,,1,False,True,True,,
8011693,1571813,CHEMBL1939836,CHEMBL1939836,CCCCOc1cccc(C2NC(=S)NC3=C2C(=O)c2ccccc23)c1,CHEMBL1944172,CHEMBL1938315,2012,310.0,nM,6.508638306165727,6.51,0.0013616938342728702,calcium_fluorescence,5H-dibenzazepine ester,other,,,HEK293,,,,human | not_reported | calcium_fluorescence | NA | NA | NA | HEK293 | NA | NA,9,,0,not_reported,not_required,,1,False,True,True,,
8011694,1571999,CHEMBL1939972,CHEMBL1939972,COCCCOc1cccc(C2NC(=S)NC3=C2C(=O)c2ccccc23)c1,CHEMBL1944172,CHEMBL1938315,2012,50.0,nM,7.301029995663981,7.3,-0.0010299956639814312,calcium_fluorescence,5H-dibenzazepine ester,other,,,HEK293,,,,human | not_reported | calcium_fluorescence | NA | NA | NA | HEK293 | NA | NA,9,,0,not_reported,not_required,,1,False,True,True,,
8011695,1571809,CHEMBL1939832,CHEMBL1939832,O=C1C2=C(NC(=S)NC2c2cccc(OCCO)c2)c2ccccc21,CHEMBL1944172,CHEMBL1938315,2012,210.0,nM,6.6777807052660805,6.68,0.0022192947339192415,calcium_fluorescence,5H-dibenzazepine ester,other,,,HEK293,,,,human | not_reported | calcium_fluorescence | NA | NA | NA | HEK293 | NA | NA,9,,0,not_reported,not_required,,1,False,True,True,,
8011696,1571810,CHEMBL1939833,CHEMBL1939833,O=C1C2=C(NC(=S)NC2c2cccc(OCCCCO)c2)c2ccccc21,CHEMBL1944172,CHEMBL1938315,2012,70.0,nM,7.154901959985743,7.16,0.005098040014257066,calcium_fluorescence,5H-dibenzazepine ester,other,,,HEK293,,,,human | not_reported | calcium_fluorescence | NA | NA | NA | HEK293 | NA | NA,9,,0,not_reported,not_required,,1,False,True,True,,
8011699,1571808,CHEMBL1939831,CHEMBL1939831,COc1ccc(Oc2cccc(C3NC(=S)NC4=C3C(=O)c3ccccc34)c2)cc1,CHEMBL1944172,CHEMBL1938315,2012,1500.0,nM,5.823908740944319,5.82,-0.003908740944318367,calcium_fluorescence,5H-dibenzazepine ester,other,,,HEK293,,,,human | not_reported | calcium_fluorescence | NA | NA | NA | HEK293 | NA | NA,9,,0,not_reported,not_required,,1,False,True,True,,
8011700,1571805,CHEMBL1939828,CHEMBL1939828,COc1cccc([C@H]2NC(=S)NC3=C2C(=O)c2ccccc23)c1,CHEMBL1944172,CHEMBL1938315,2012,75.0,nM,7.1249387366083,7.12,-0.0049387366082997985,calcium_fluorescence,5H-dibenzazepine ester,other,,,HEK293,,,,human | not_reported | calcium_fluorescence | NA | NA | NA | HEK293 | NA | NA,9,,0,not_reported,not_required,,1,False,True,True,,
