inchikey,std_smiles,molecule_chembl_id,pchembl_median,pchembl_min,pchembl_max,pchembl_std,n_measurements,year_min,year_max,n_documents,n_assays
RNTNRGPOXWZFSV-HHCCDPJTSA-N,Cc1cnn2ncn(Cc3nc([C@H]4C[C@](F)(c5ccc(Cl)cc5)C4)no3)c(=O)c12,CHEMBL5865172,7.640000000000001,7.19,8.09,0.6363961030678921,2,2020,2020,1,2
RNUOFBBBPCXGHG-QLPKVWCKSA-N,COc1cccc(N2C[C@@H]3[C@H](C2)[C@H]3c2noc(Cn3cnc4ncn(C)c4c3=O)n2)c1,CHEMBL6051404,6.8,6.8,6.8,,1,2020,2020,1,1
RONHBRICLKDFKA-CTYIDZIISA-N,O=c1c2cccnc2cnn1Cc1nn([C@H]2C[C@H](c3ccc(Cl)cc3)C2)c(=O)o1,CHEMBL5875208,7.1,7.1,7.1,,1,2021,2021,1,1
ROPFVCZNOGJJTP-FOLVSLTJSA-N,Cn1cnc2ncn(Cc3nc([C@H]4[C@@H]5CN(c6cc(Cl)cc(Cl)c6)C[C@@H]54)no3)c(=O)c21,CHEMBL5854360,6.57,6.57,6.57,,1,2020,2020,1,1
ROWLJZVZKLFWIP-ZDUSSCGKSA-N,O=C1NCCc2c1sc1ncn(Cc3nnn(C[C@H](O)c4cc5cc(Cl)ccc5o4)n3)c(=O)c21,CHEMBL5909234,7.85,7.85,7.85,,1,2023,2023,1,1
RPCAQDVUXPFSNA-CDKJVOIVSA-N,CC(=C\c1ccccc1)/C(C)=N/O,CHEMBL603735,5.57,5.57,5.57,,1,2010,2010,1,1
RPYNGOUXKHDDOG-APWZRJJASA-N,O=C(NCc1cc(F)cc(-n2ccc(C(F)(F)F)n2)c1)[C@@H]1C[C@@H](F)CN1S(=O)(=O)c1ccc(F)cc1,CHEMBL5796135,6.99,6.99,6.99,,1,2022,2022,1,1
RQNFZQNZWILBEE-QUCCMNQESA-N,O=C(NCc1cc(F)cc(-c2cnc(C(F)(F)F)nc2)c1)[C@@H]1C[C@@H](F)CN1S(=O)(=O)c1ccc(F)cc1,CHEMBL5817946,7.85,7.85,7.85,,1,2022,2022,1,1
RQQAWKCHVMJSHO-MNZLEMJZSA-N,O=c1c2cccnc2cnn1Cc1nc([C@H]2[C@@H]3CN(c4ccccc4)C[C@@H]32)no1,CHEMBL5858382,8.25,8.21,8.29,0.056568542494922595,2,2020,2020,1,2
RQRSHGKVUVLTGC-SHTZXODSSA-N,Cc1ccnc2ncn(Cc3nc([C@H]4C[C@H](c5ccc(Cl)cc5)C4)no3)c(=O)c12,CHEMBL5949196,7.67,7.67,7.67,,1,2020,2020,1,1
RQYJNYUPQSRKEX-ZDUSSCGKSA-N,Cc1cc(Cn2c(=O)c3c(ncn3[C@@H](C)C(=O)Nc3cccc(-c4cnc(C(F)(F)F)nc4)n3)n(C)c2=O)no1,CHEMBL5758717,8.4,8.4,8.4,,1,2019,2019,1,1
RROFQCPRKWVHAS-UHFFFAOYSA-N,Cc1cccc2ncn(CC(=O)NCCc3ccc(Cl)cc3)c(=O)c12,CHEMBL3787125,7.16,7.16,7.16,,1,2016,2016,1,1
RRTAHZNWVCULQP-UHFFFAOYSA-N,O=C(Nc1cc(NCc2cccs2)cc(C(F)(F)F)c1)c1cccs1,CHEMBL3311175,5.57,5.57,5.57,,1,2014,2014,1,1
RSEKKORVKIXWHN-BXHXUVEDSA-N,Cn1cnc2ncn(Cc3nc([C@H]4C[C@](F)(c5ccc(F)cc5)C4)no3)c(=O)c21,CHEMBL5858075,6.5,6.5,6.5,,1,2020,2020,1,1
RSSHXKVUURRAKX-GFCCVEGCSA-N,Cn1cnc2ncn(Cc3nn(C[C@@H](F)c4ccc(Cl)cc4)c(=O)o3)c(=O)c21,CHEMBL5958280,5.42,5.42,5.42,,1,2021,2021,1,1
RSSHXKVUURRAKX-LBPRGKRZSA-N,Cn1cnc2ncn(Cc3nn(C[C@H](F)c4ccc(Cl)cc4)c(=O)o3)c(=O)c21,CHEMBL4863686,7.585,7.47,7.7,0.16263455967290624,2,2021,2021,2,2
RTOPZEJDITVXGI-MNZLEMJZSA-N,O=c1c2cccnc2cnn1Cc1nc([C@H]2[C@@H]3CN(c4cccc(F)c4)C[C@@H]32)no1,CHEMBL5774326,8.184999999999999,8.08,8.29,0.14849242404917495,2,2020,2020,1,2
RTYUVVPWNPBAAI-SIKLNZKXSA-N,O=C(NCc1cc(-c2ccc(C(F)(F)F)nc2)ncn1)[C@@H]1C[C@]2(CN1S(=O)(=O)c1ccc(F)cc1)CC2(F)F,CHEMBL5797642,6.95,6.95,6.95,,1,2022,2022,1,1
RUDSKJYIDUAKKF-HNNXBMFYSA-N,Cc1c(C(=O)NCC(C)(C)O)sc2ncn(Cc3nc(C[C@H](O)c4ccc(Cl)cc4)no3)c(=O)c12,CHEMBL4847955,7.43,7.43,7.43,0.0,2,2021,2021,2,2
RUTDIBPJABTBIH-JOCQHMNTSA-N,Cn1cnc2ncn(Cc3nc([C@H]4C[C@H](c5cccc(Cl)c5)C4)no3)c(=O)c21,CHEMBL5871159,7.51,7.51,7.51,,1,2020,2020,1,1
