activity_id,assay_chembl_id,assay_type,canonical_smiles,data_validity_comment,document_chembl_id,document_year,molecule_chembl_id,pchembl_value,relation,standard_relation,standard_type,standard_units,standard_value,type,units,value,std_smiles,inchikey
27423824,CHEMBL5733104,B,C[C@@H](C(=O)Nc1cncc(-c2cnc(N3CC4C(C3)C4(F)F)nc2)n1)n1cnc2c1c(=O)n(CC#N)c(=O)n2C,,CHEMBL5726658,2019,CHEMBL5959189,8.15,=,=,IC50,nM,7.0,IC50,nM,7.0,C[C@@H](C(=O)Nc1cncc(-c2cnc(N3CC4C(C3)C4(F)F)nc2)n1)n1cnc2c1c(=O)n(CC#N)c(=O)n2C,FVGOWAKUHJZKFK-GRTSSRMGSA-N
27423827,CHEMBL5733104,B,CC(=O)Cn1c(=O)c2c(ncn2[C@@H](C)C(=O)Nc2ccnc(-c3cnc(N4CC5C(C4)C5(F)F)nc3)n2)n(C)c1=O,,CHEMBL5726658,2019,CHEMBL6013956,8.1,=,=,IC50,nM,8.0,IC50,nM,8.0,CC(=O)Cn1c(=O)c2c(ncn2[C@@H](C)C(=O)Nc2ccnc(-c3cnc(N4CC5C(C4)C5(F)F)nc3)n2)n(C)c1=O,WKEBOVLUILWQBJ-JEYLPNPQSA-N
27423830,CHEMBL5733104,B,CCC(=O)Cn1c(=O)c2c(ncn2[C@@H](C)C(=O)Nc2ccnc(-c3cnc(N4CC5C(C4)C5(F)F)nc3)n2)n(C)c1=O,,CHEMBL5726658,2019,CHEMBL5875545,8.3,=,=,IC50,nM,5.0,IC50,nM,5.0,CCC(=O)Cn1c(=O)c2c(ncn2[C@@H](C)C(=O)Nc2ccnc(-c3cnc(N4CC5C(C4)C5(F)F)nc3)n2)n(C)c1=O,IMGWVWRMROWQGB-IGEOTXOUSA-N
27423833,CHEMBL5733104,B,CC(=O)Cn1c(=O)c2c(ncn2[C@@H](C)C(=O)Nc2csc(-c3ccc(N4CC5CC5C4)nc3)n2)n(C)c1=O,,CHEMBL5726658,2019,CHEMBL5826288,8.7,=,=,IC50,nM,2.0,IC50,nM,2.0,CC(=O)Cn1c(=O)c2c(ncn2[C@@H](C)C(=O)Nc2csc(-c3ccc(N4CC5CC5C4)nc3)n2)n(C)c1=O,DPYKKSMHTFGSEZ-OOHWJJMZSA-N
27423836,CHEMBL5733104,B,C[C@@H](C(=O)Nc1csc(-c2ccc(N3CC4CC4C3)nc2)n1)n1cnc2c1c(=O)n(CC#N)c(=O)n2C,,CHEMBL5726658,2019,CHEMBL5747691,8.7,=,=,IC50,nM,2.0,IC50,nM,2.0,C[C@@H](C(=O)Nc1csc(-c2ccc(N3CC4CC4C3)nc2)n1)n1cnc2c1c(=O)n(CC#N)c(=O)n2C,QIFKHTVCZJXBND-JEYLPNPQSA-N
27423839,CHEMBL5733104,B,CC(=O)Cn1c(=O)c2c(ncn2[C@@H](C)C(=O)Nc2cccc(-c3ccc(N4CC5C(C4)C5(F)F)nc3)n2)n(C)c1=O,,CHEMBL5726658,2019,CHEMBL5787980,8.1,=,=,IC50,nM,8.0,IC50,nM,8.0,CC(=O)Cn1c(=O)c2c(ncn2[C@@H](C)C(=O)Nc2cccc(-c3ccc(N4CC5C(C4)C5(F)F)nc3)n2)n(C)c1=O,VPRQKNRUPOPQIY-ZLPCBKJTSA-N
27423842,CHEMBL5733104,B,C[C@@H](C(=O)Nc1cccc(-c2ccc(N3CC4C(C3)C4(F)F)nc2)n1)n1cnc2c1c(=O)n(CC#N)c(=O)n2C,,CHEMBL5726658,2019,CHEMBL5951532,8.7,=,=,IC50,nM,2.0,IC50,nM,2.0,C[C@@H](C(=O)Nc1cccc(-c2ccc(N3CC4C(C3)C4(F)F)nc2)n1)n1cnc2c1c(=O)n(CC#N)c(=O)n2C,DUDGVTZIXWMUJM-OOHWJJMZSA-N
27423845,CHEMBL5733104,B,C[C@@H](C(=O)Nc1ccnc(-c2cnc(N3CC4C(C3)C4(F)F)nc2)n1)n1cnc2c1c(=O)n(CC#N)c(=O)n2C,,CHEMBL5726658,2019,CHEMBL5803475,8.15,=,=,IC50,nM,7.0,IC50,nM,7.0,C[C@@H](C(=O)Nc1ccnc(-c2cnc(N3CC4C(C3)C4(F)F)nc2)n1)n1cnc2c1c(=O)n(CC#N)c(=O)n2C,MKFGBLWMDLQLDI-GRTSSRMGSA-N
27423848,CHEMBL5733104,B,CCC(=O)Cn1c(=O)c2c(ncn2[C@@H](C)C(=O)Nc2cccc(-c3ccc(N4CC5C(C4)C5(F)F)nc3)n2)n(C)c1=O,,CHEMBL5726658,2019,CHEMBL5983223,8.3,=,=,IC50,nM,5.0,IC50,nM,5.0,CCC(=O)Cn1c(=O)c2c(ncn2[C@@H](C)C(=O)Nc2cccc(-c3ccc(N4CC5C(C4)C5(F)F)nc3)n2)n(C)c1=O,KIBRIXFLSAEWRD-MNNVXMFVSA-N
27423851,CHEMBL5733104,B,CC(=O)Cn1c(=O)c2c(ncn2[C@@H](C)C(=O)Nc2ccnc(-c3ccc(N4CC5C(C4)C5(F)F)nc3)n2)n(C)c1=O,,CHEMBL5726658,2019,CHEMBL6061471,8.15,=,=,IC50,nM,7.0,IC50,nM,7.0,CC(=O)Cn1c(=O)c2c(ncn2[C@@H](C)C(=O)Nc2ccnc(-c3ccc(N4CC5C(C4)C5(F)F)nc3)n2)n(C)c1=O,STVTVNLJAIJDGA-OOHWJJMZSA-N
27423854,CHEMBL5733104,B,CCC(=O)Cn1c(=O)c2c(ncn2[C@@H](C)C(=O)Nc2ccnc(-c3ccc(N4CC5C(C4)C5(F)F)nc3)n2)n(C)c1=O,,CHEMBL5726658,2019,CHEMBL5763260,8.3,=,=,IC50,nM,5.0,IC50,nM,5.0,CCC(=O)Cn1c(=O)c2c(ncn2[C@@H](C)C(=O)Nc2ccnc(-c3ccc(N4CC5C(C4)C5(F)F)nc3)n2)n(C)c1=O,VNGNWQRJLQMWOH-NNGSBXSVSA-N
27423857,CHEMBL5733104,B,CNC(=O)Cn1c(=O)c2c(ncn2[C@@H](C)C(=O)Nc2csc(-c3cnc(N4CC5CC5C4)nc3)n2)n(C)c1=O,,CHEMBL5726658,2019,CHEMBL5934835,7.36,=,=,IC50,nM,44.0,IC50,nM,44.0,CNC(=O)Cn1c(=O)c2c(ncn2[C@@H](C)C(=O)Nc2csc(-c3cnc(N4CC5CC5C4)nc3)n2)n(C)c1=O,FPDWPLLJKZDDGE-HSBZDZAISA-N
27423860,CHEMBL5733104,B,C[C@@H](C(=O)Nc1csc(-c2cnc(N3CC4CC4C3)nc2)n1)n1cnc2c1c(=O)n(CC(N)=O)c(=O)n2C,,CHEMBL5726658,2019,CHEMBL5829683,7.02,=,=,IC50,nM,95.0,IC50,nM,95.0,C[C@@H](C(=O)Nc1csc(-c2cnc(N3CC4CC4C3)nc2)n1)n1cnc2c1c(=O)n(CC(N)=O)c(=O)n2C,CCUWLJJJTXPUCI-HIFPTAJRSA-N
27423863,CHEMBL5733104,B,C[C@@H](C(=O)Nc1csc(-c2cnc(N3CC4CC4C3)nc2)n1)n1cnc2c1c(=O)n(CC1CCO1)c(=O)n2C,,CHEMBL5726658,2019,CHEMBL5906916,7.03,=,=,IC50,nM,93.0,IC50,nM,93.0,C[C@@H](C(=O)Nc1csc(-c2cnc(N3CC4CC4C3)nc2)n1)n1cnc2c1c(=O)n(CC1CCO1)c(=O)n2C,UBNFGYAHASKHBP-DPGVGJJJSA-N
27423866,CHEMBL5733104,B,CC(=O)Cn1c(=O)c2c(ncn2[C@@H](C)C(=O)Nc2cncc(-c3cnc(N4CC5C(C4)C5(F)F)nc3)n2)n(C)c1=O,,CHEMBL5726658,2019,CHEMBL5745226,8.22,=,=,IC50,nM,6.0,IC50,nM,6.0,CC(=O)Cn1c(=O)c2c(ncn2[C@@H](C)C(=O)Nc2cncc(-c3cnc(N4CC5C(C4)C5(F)F)nc3)n2)n(C)c1=O,NTYRFIKFQBKXPB-JEYLPNPQSA-N
27423869,CHEMBL5733104,B,CCC(=O)Cn1c(=O)c2c(ncn2[C@@H](C)C(=O)Nc2cncc(-c3cnc(N4CC5C(C4)C5(F)F)nc3)n2)n(C)c1=O,,CHEMBL5726658,2019,CHEMBL5948960,8.52,=,=,IC50,nM,3.0,IC50,nM,3.0,CCC(=O)Cn1c(=O)c2c(ncn2[C@@H](C)C(=O)Nc2cncc(-c3cnc(N4CC5C(C4)C5(F)F)nc3)n2)n(C)c1=O,XFZJKVPNNLXVDR-IGEOTXOUSA-N
27423872,CHEMBL5733104,B,CC(=O)Cn1c(=O)c2c(ncn2[C@@H](C)C(=O)Nc2cncc(-c3ccc(N4CC5C(C4)C5(F)F)nc3)n2)n(C)c1=O,,CHEMBL5726658,2019,CHEMBL6049051,8.0,=,=,IC50,nM,10.0,IC50,nM,10.0,CC(=O)Cn1c(=O)c2c(ncn2[C@@H](C)C(=O)Nc2cncc(-c3ccc(N4CC5C(C4)C5(F)F)nc3)n2)n(C)c1=O,MMNOSEAJUARMOD-OOHWJJMZSA-N
27423875,CHEMBL5733104,B,C[C@@H](C(=O)Nc1cncc(-c2ccc(N3CC4C(C3)C4(F)F)nc2)n1)n1cnc2c1c(=O)n(CC#N)c(=O)n2C,,CHEMBL5726658,2019,CHEMBL5745785,8.7,=,=,IC50,nM,2.0,IC50,nM,2.0,C[C@@H](C(=O)Nc1cncc(-c2ccc(N3CC4C(C3)C4(F)F)nc2)n1)n1cnc2c1c(=O)n(CC#N)c(=O)n2C,NHABUIFDSBXZLP-JEYLPNPQSA-N
27423878,CHEMBL5733104,B,Cc1cc(Cn2c(=O)c3c(ncn3[C@@H](C)C(=O)Nc3cccc(-c4noc(C(F)(F)F)n4)n3)n(C)c2=O)no1,,CHEMBL5726658,2019,CHEMBL6013560,7.07,=,=,IC50,nM,86.0,IC50,nM,86.0,Cc1cc(Cn2c(=O)c3c(ncn3[C@@H](C)C(=O)Nc3cccc(-c4noc(C(F)(F)F)n4)n3)n(C)c2=O)no1,WNGOEYHEIHEHSY-NSHDSACASA-N
