molecule_chembl_id,canonical_smiles,std_smiles,inchikey,mw
CHEMBL7532,CC(C)(C)C(=O)c1cccnc1N1CCN(C(=O)c2cc3ccccc3[nH]2)CC1,CC(C)(C)C(=O)c1cccnc1N1CCN(C(=O)c2cc3ccccc3[nH]2)CC1,PVGYPMPWQDSXBZ-UHFFFAOYSA-N,390.48700000000014
CHEMBL428644,COc1ccc([C@@H]2[C@@H](C(=O)O)[C@H](c3ccc4c(c3)OCO4)CN2CC(=O)N2CCCCC2)cc1,COc1ccc([C@@H]2[C@@H](C(=O)O)[C@H](c3ccc4c(c3)OCO4)CN2CC(=O)N2CCCCC2)cc1,LBZPYIWLWZOBDY-KSNOWIBYSA-N,466.53400000000045
CHEMBL17,NS(=O)(=O)c1cc(Cl)c(Cl)c(S(N)(=O)=O)c1,NS(=O)(=O)c1cc(Cl)c(Cl)c(S(N)(=O)=O)c1,GJQPMPFPNINLKP-UHFFFAOYSA-N,305.16400000000004
CHEMBL9476,CCC(C)/N=c1\c(O)c(O)\c1=N/[C@@H](Cc1ccc(NC(=O)c2c(Cl)cncc2Cl)cc1)C(=O)O,CCC(C)/N=c1\c(O)c(O)\c1=N/[C@@H](Cc1ccc(NC(=O)c2c(Cl)cncc2Cl)cc1)C(=O)O,LULBOWHKBZHNPL-CKLPVXCESA-N,505.3580000000002
CHEMBL268459,COC(=O)c1oc2c(sc3ccccc32)c1OC(=O)N(C)C,COC(=O)c1oc2c(sc3ccccc32)c1OC(=O)N(C)C,OWVLGIHMRGXJOF-UHFFFAOYSA-N,319.3380000000001
CHEMBL9148,C/C=C/C=C/C(=O)O[C@H](CC=C(C)C)C1=CC(=O)c2c(O)ccc(O)c2C1=O,C/C=C/C=C/C(=O)O[C@H](CC=C(C)C)C1=CC(=O)c2c(O)ccc(O)c2C1=O,CCIMACYQRBTRGP-ZXKJJQAMSA-N,382.4120000000001
CHEMBL428145,O=[N+]([O-])c1cc2ccc3cc4ccccc4cc3c2o1,O=[N+]([O-])c1cc2ccc3cc4ccccc4cc3c2o1,SKKPTIULHWFSGR-UHFFFAOYSA-N,263.252
CHEMBL7447,C=C(C)[C@@H]1CC[C@]2(C(=O)NCCCCCCCC(=O)N[C@@H](CC(C)C)[C@@H](O)CC(=O)O)CC[C@]3(C)[C@H](CC[C@@H]4[C@@]5(C)CC[C@H](O)C(C)(C)[C@@H]5CC[C@]43C)[C@@H]12,C=C(C)[C@@H]1CC[C@]2(C(=O)NCCCCCCCC(=O)N[C@@H](CC(C)C)[C@@H](O)CC(=O)O)CC[C@]3(C)[C@H](CC[C@@H]4[C@@]5(C)CC[C@H](O)C(C)(C)[C@@H]5CC[C@]43C)[C@@H]12,SPZFCKVVHXRLAI-XOCWCZJOSA-N,755.1379999999997
CHEMBL6902,CC(C)NCC(O)COc1ccc(C[S+]([O-])CC2CC2)cc1,CC(C)NCC(O)COc1ccc(C[S+]([O-])CC2CC2)cc1,KALNDAPKXOYQKD-UHFFFAOYSA-N,325.4740000000001
CHEMBL267498,COc1c2occc2c(CN(C)C)c2ccc(=O)oc12.Cl,COc1c2occc2c(CN(C)C)c2ccc(=O)oc12,ISCUJUPPEBJPTQ-UHFFFAOYSA-N,273.288
