inchikey,standard_type,std_smiles,molecule_chembl_id,pchembl_median,pchembl_min,pchembl_max,pchembl_std,n_measurements,assay_types,year_min,year_max,scaffold,split
IYXIXNIKYCFBDN-AWEZNQCLSA-N,IC50,CCOc1ncc(-c2cccc(NC(=O)[C@H](C)n3cnc4c3c(=O)n(CC(=O)CC)c(=O)n4C)n2)cc1C(F)(F)F,CHEMBL5989150,9.0,9.0,9.0,,1,B,2019,2019,O=C(Cn1cnc2[nH]c(=O)[nH]c(=O)c21)Nc1cccc(-c2cccnc2)n1,train
IZLFWDRMGMPZOG-UOXRKKOCSA-N,IC50,C[C@H]1[C@H](F)C[C@@H](C(=O)NCc2cc(-c3cnc(C(F)(F)F)nc3)ncc2Cl)N1S(=O)(=O)c1ccc(F)cc1,CHEMBL4103545,8.3,8.3,8.3,,1,B,2018,2018,O=C(NCc1ccnc(-c2cncnc2)c1)C1CCCN1S(=O)(=O)c1ccccc1,train
JBIXZNRRVYTXMJ-NSHDSACASA-N,IC50,CC(=O)NC(=O)Cn1c(=O)c2c(ncn2[C@@H](C)C(=O)Nc2cccc(-c3cnc(C(F)(F)F)nc3)n2)n(C)c1=O,CHEMBL5763205,7.32,7.32,7.32,,1,B,2021,2021,O=C(Cn1cnc2[nH]c(=O)[nH]c(=O)c21)Nc1cccc(-c2cncnc2)n1,train
JBYPWLUUGPQYAS-QFBILLFUSA-N,IC50,Cn1c(NCc2ccccn2)nc2ncn(Cc3nc([C@@H]4CO[C@@H](c5ccc(Cl)cc5)C4)no3)c(=O)c21,CHEMBL5915465,7.470000000000001,7.4,7.54,0.0989949493661161,2,B,2020,2020,O=c1c2[nH]c(NCc3ccccn3)nc2ncn1Cc1nc(C2COC(c3ccccc3)C2)no1,val
JCFSCBLSEONLAZ-SWLSCSKDSA-N,IC50,Cn1nnc2ccn(Cc3nc([C@@H]4CO[C@@H](c5ccc(F)cc5)C4)no3)c(=O)c21,CHEMBL6036980,8.205,8.16,8.25,0.0636396103067891,2,B,2020,2020,O=c1c2[nH]nnc2ccn1Cc1nc(C2COC(c3ccccc3)C2)no1,train
JCGBVACYAGHPAM-STQMWFEESA-N,IC50,C[C@]1(O)CCC[C@H](c2ccccc2)C1,CHEMBL5594756,5.49,5.49,5.49,,1,B,2024,2024,c1ccc(C2CCCCC2)cc1,val
JCHJBCPFIWXKDB-QLPKVWCKSA-N,IC50,Cn1cnc2ncn(Cc3nc([C@H]4[C@@H]5CN(c6ccc(C=O)cc6)C[C@@H]54)no3)c(=O)c21,CHEMBL5784487,7.26,7.26,7.26,,1,B,2020,2020,O=c1c2[nH]cnc2ncn1Cc1nc(C2C3CN(c4ccccc4)CC32)no1,train
JCPXMGFJZJLKIN-LBPRGKRZSA-N,IC50,Cc1c(C(N)=O)sc2ncn(Cc3nc(C[C@H](O)c4ccc(F)cc4)no3)c(=O)c12,CHEMBL5777540,7.48,7.48,7.48,,1,B,2021,2021,O=c1c2ccsc2ncn1Cc1nc(CCc2ccccc2)no1,train
JCWLFTBWOABNHA-UHFFFAOYSA-N,IC50,O=C(NCC(Cc1ccccc1)N1CCC(C(F)(F)F)CC1)C1(c2ccc(F)cc2)CCCC1,CHEMBL4216712,6.17,6.17,6.17,,1,B,2016,2016,O=C(NCC(Cc1ccccc1)N1CCCCC1)C1(c2ccccc2)CCCC1,train
JEPYVPCCTJDATH-UHFFFAOYSA-N,IC50,Cn1c(=O)c2c(CC(=O)Nc3nc(-c4ccc(C(F)(F)F)c(F)c4)cs3)nsc2n(C)c1=O,CHEMBL3912738,8.17,8.17,8.17,,1,B,2015,2015,O=C(Cc1nsc2[nH]c(=O)[nH]c(=O)c12)Nc1nc(-c2ccccc2)cs1,train
