inchikey,standard_type,std_smiles,molecule_chembl_id,pchembl_median,pchembl_min,pchembl_max,pchembl_std,n_measurements,assay_types,year_min,year_max,scaffold,split
WGVJYHYDVDOLQK-UHFFFAOYSA-N,EC50,CC(C)CNc1nc(N2CCN(Cc3ccccc3)CC2)ncc1C(=O)NCc1cccnc1,CHEMBL1818210,7.31,7.31,7.31,,1,F,2011,2011,O=C(NCc1cccnc1)c1cnc(N2CCN(Cc3ccccc3)CC2)nc1,test
WRFHVMFZOJHYGN-UHFFFAOYSA-N,EC50,C=CCCCCN=C=S,CHEMBL3593944,5.98,5.98,5.98,,1,B,2015,2015,,train
WRWJPMLGCZXXPT-UHFFFAOYSA-N,EC50,CCCCOC(=O)c1cccc2c1Cc1ccccc1N=C2,CHEMBL1084638,8.14,8.07,8.21,0.098994949366117,2,"B,F",2010,2010,C1=Nc2ccccc2Cc2ccccc21,train
WUILNKCFCLNXOK-CFBAGHHKSA-N,EC50,CC(C)=CCC/C(C)=C/CC/C(C)=C/CSc1ccccc1C(=O)O,CHEMBL23293,5.31,5.16,6.1,0.4603259714593563,5,"B,F",2010,2019,c1ccccc1,train
WYKKHJVTYOKDGT-UHFFFAOYSA-N,EC50,CCc1ccc(-c2csc(NCCCOC)n2)cc1,CHEMBL6190207,4.59,4.59,4.59,,1,B,2025,2025,c1ccc(-c2cscn2)cc1,train
WZXOJFDWZWNRLN-UHFFFAOYSA-N,EC50,C=CCCCCCN=C=S,CHEMBL3593945,5.98,5.98,5.98,,1,B,2015,2015,,train
XCXOHPXTLZMKQJ-UHFFFAOYSA-N,EC50,C#CCN=C=S,CHEMBL401514,4.74,4.74,4.74,0.0,2,B,2007,2010,,train
XILSZEXCNYQJKB-NTEUORMPSA-N,EC50,O=C(O)/C=C1/C(=O)N(Cc2ccccc2)c2ccc(F)cc21,CHEMBL1085834,5.35,5.35,5.35,,1,F,2010,2010,C=C1C(=O)N(Cc2ccccc2)c2ccccc21,train
XUHFBOUSHUEAQZ-UHFFFAOYSA-N,EC50,N#CC(Br)c1ccccc1,CHEMBL1085832,8.0,8.0,8.0,0.0,2,"B,F",2010,2010,c1ccccc1,train
YAYQPACFPAHFBP-ZHACJKMWSA-N,EC50,COc1ccccc1/C=C/C(=O)Nc1ccccc1C(=O)O,CHEMBL4446136,4.109999999999999,4.1,4.12,0.0141421356237315,2,B,2019,2019,O=C(C=Cc1ccccc1)Nc1ccccc1,train
YIBXPFAXPUDDTK-UHFFFAOYSA-N,EC50,CSCCCCCCN=C=S,CHEMBL574688,6.24,6.24,6.24,,1,B,2015,2015,,train
YLSLKMQAWSXWOL-CCEZHUSRSA-N,EC50,Cc1cnccc1/N=N/c1ccccc1,CHEMBL5079492,4.72,4.72,4.72,,1,B,2021,2021,c1ccc(N=Nc2ccncc2)cc1,train
YOMSJEATGXXYPX-UHFFFAOYSA-N,EC50,C=Cc1ccc(O)c(OC)c1,CHEMBL1232595,4.08,4.08,4.08,,1,B,2021,2021,c1ccccc1,train
YOUBYEFJHQOASU-NQPRBDNZSA-N,EC50,CC(/C=C/c1ccc(Cl)cc1)=N\O,CHEMBL589871,4.56,4.56,4.56,,1,F,2010,2010,c1ccccc1,train
YSKFGBAYHFLJPZ-JXMROGBWSA-N,EC50,O=C(/C=C/c1ccc(F)cc1)Nc1ccccc1C(=O)O,CHEMBL4562546,4.51,4.5,4.52,0.0141421356237306,2,B,2019,2019,O=C(C=Cc1ccccc1)Nc1ccccc1,train
ZBCATMYQYDCTIZ-UHFFFAOYSA-N,EC50,Cc1ccc(O)c(O)c1,CHEMBL158766,4.93,4.93,4.93,,1,B,2021,2021,c1ccccc1,train
ZBIJFOJLVHXYIY-NQPRBDNZSA-N,EC50,CC(/C=C/c1ccc2c(c1)OCO2)=N\O,CHEMBL590847,4.94,4.94,4.94,,1,F,2010,2010,c1ccc2c(c1)OCO2,test
ZKTQJMLALXDVCN-JXMROGBWSA-N,EC50,O=C(/C=C/c1ccc(C(F)(F)F)cc1)Nc1ccccc1C(=O)O,CHEMBL4446849,4.57,4.57,4.57,0.0,2,B,2019,2019,O=C(C=Cc1ccccc1)Nc1ccccc1,train
ZMYMOKYVEYEAEH-RQLXMFKESA-N,EC50,CC1(C)CCC[C@@]2(C)[C@H]1CC[C@@]1(CO1)[C@@H]2CC/C=C(/C=O)CC=O,CHEMBL1084611,6.7,6.7,6.7,,1,F,2010,2010,C1CCC2CC3(CCC2C1)CO3,test
ZOJBYZNEUISWFT-UHFFFAOYSA-N,EC50,C=CCN=C=S,CHEMBL233248,5.380000000000001,4.47,6.4,0.6113060239724903,14,"B,F",2007,2020,,train
ZROLHBHDLIHEMS-HUUCEWRRSA-N,EC50,CCCc1cc(O)c2c(c1)OC(C)(C)[C@@H]1CCC(C)=C[C@@H]21,CHEMBL2387541,6.49,5.82,7.16,0.9475230867899735,2,B,2021,2021,C1=CC2c3ccccc3OCC2CC1,val
